1313540912,T694322C,OMT,NY,NY,17,OTHER/UNKNOWN AGENCIES,NO STANDING-DAY/TIME LIMITS,HEARING HELD-GUILTY,03/18/2016,10:38A,,0.00,115.00,0,115,0.00,0.00
1335664579,XU694Z,PAS,NY,NJ,1,FIRE DEPARTMENT,FIRE HYDRANT,,03/21/2016,01:01P,,0.00,125.00,10,115,0.00,0.00
1345459683,GGP2934,PAS,K,NY,84,CON RAIL,NO STANDING-EXC. AUTH. VEHICLE,,03/15/2016,08:00A,,0.00,105.00,10,95,0.00,0.00
1363047231,HXL8614,PAS,K,PA,60,DEPARTMENT OF SANITATION,NO PARKING-STREET CLEANING,,03/07/2016,11:46A,,0.00,75.00,30,45,0.00,0.00
1364118312,GUD4402,PAS,NY,NY,34,POLICE DEPARTMENT,NO PARKING-DAY/TIME LIMITS,,03/25/2016,01:40A,,0.00,60.00,10,60,0.00,10.00
1375739827,23614MG,COM,BX,NY,45,POLICE DEPARTMENT,FIRE HYDRANT,HEARING HELD-GUILTY REDUCTION,03/25/2016,06:55A,,0.00,105.00,0,115,0.00,10.00
1376050870,GSV4105,PAS,BX,NY,44,POLICE DEPARTMENT,DOUBLE PARKING,HEARING HELD-NOT GUILTY,03/24/2016,02:30P,,0.00,0.00,10,115,0.00,125.00
1377382102,GVS8079,PAS,BX,NY,47,POLICE DEPARTMENT,OBSTRUCTING DRIVEWAY,HEARING HELD-GUILTY,03/18/2016,02:20P,,0.00,95.00,0,95,0.00,0.00
1378308748,GRB7732,PAS,NY,NY,19,OTHER/UNKNOWN AGENCIES,NO STANDING-COMM METER ZONE,,03/01/2016,09:00A,,0.00,145.00,30,115,0.00,0.00
1382876154,HCD1912,PAS,NY,NY,1,OTHER/UNKNOWN AGENCIES,NO STOPPING-DAY/TIME LIMITS,,03/25/2016,02:25P,,0.00,125.00,10,115,0.00,0.00
1386549125,GRB7185,PAS,Q,NY,105,POLICE DEPARTMENT,INSP. STICKER-EXPIRED/MISSING,,03/13/2016,10:15P,,0.00,75.00,10,65,0.00,0.00
1387390909,62168MB,COM,NY,NY,30,POLICE DEPARTMENT,DOUBLE PARKING,HEARING HELD-NOT GUILTY,03/22/2016,02:34P,,0.00,0.00,0,115,0.00,115.00
1388197893,2XN764,999,K,MA,66,POLICE DEPARTMENT,NO PARKING-STREET CLEANING,,03/17/2016,09:22A,,0.00,55.00,10,45,0.00,0.00
1388198824,GTE6379,PAS,K,NY,66,POLICE DEPARTMENT,FIRE HYDRANT,HEARING HELD-GUILTY,03/26/2016,08:21A,,0.00,125.00,10,115,0.00,0.00
1388199014,GPN1868,PAS,K,NY,66,POLICE DEPARTMENT,NO PARKING-DAY/TIME LIMITS,HEARING HELD-GUILTY,03/24/2016,10:30A,,0.00,60.00,0,60,0.00,0.00
1388199634,FRX9372,PAS,K,NY,66,POLICE DEPARTMENT,FIRE HYDRANT,HEARING HELD-GUILTY,03/18/2016,04:36A,,0.00,115.00,0,115,0.00,0.00
1388200028,GLJ2693,PAS,K,NY,66,POLICE DEPARTMENT,FIRE HYDRANT,HEARING HELD-GUILTY,03/16/2016,01:06P,,0.00,125.00,10,115,0.00,0.00
1388226674,T69184C,OMT,K,NY,66,POLICE DEPARTMENT,FIRE HYDRANT,APPEAL REVERSED,03/27/2016,11:25A,,0.00,0.00,0,115,0.00,115.00
1388227046,15453MG,COM,K,NY,66,POLICE DEPARTMENT,DOUBLE PARKING,HEARING HELD-GUILTY,03/09/2016,02:29P,,0.00,125.00,10,115,0.00,0.00
1388228075,T607947C,OMT,K,NY,66,POLICE DEPARTMENT,OBSTRUCTING DRIVEWAY,,03/08/2016,11:35A,,0.00,125.00,30,95,0.00,0.00
1388228488,34956ME,COM,K,NY,66,POLICE DEPARTMENT,NGHT PKG ON RESID STR-COMM VEH,,03/07/2016,12:33A,,0.00,95.00,30,65,0.00,0.00
1388228543,EHL6641,PAS,K,NY,66,POLICE DEPARTMENT,SIDEWALK,HEARING HELD-GUILTY,03/15/2016,06:44A,,0.00,115.00,0,115,0.00,0.00
