2013	1	14776615
2013	10	15004556
2013	11	14388451
2013	12	13971118
2013	2	13990176
2013	3	15749228
2013	4	15100468
2013	5	15285049
2013	6	14385456
2013	7	13823840
2013	8	12597109
2013	9	14107693
2014	1	13782492
2014	10	14232487
2014	11	13218216
2014	12	13014161
2014	2	13063791
2014	3	15428127
2014	4	14618759
2014	5	14774041
2014	6	13813029
2014	7	13106365
2014	8	12688877
2014	9	13374016
2015	1	12748986
2015	10	12315488
2015	11	11312676
2015	12	11460573
2015	2	12450521
2015	3	13351609
2015	4	13071789
2015	5	13158262
2015	6	12324935
2015	7	11562783
2015	8	11130304
2015	9	11225063
2016	1	10906858
2016	10	10854626
2016	11	10102128
2016	12	10449408
2016	2	11382049
2016	3	12210952
2016	4	11934338
2016	5	11836853
2016	6	11135470
2016	7	10294080
2016	8	9942263
2016	9	10116018
